,index,name,ram,storage,brand_in_num,mean_rate,total_comment,price
123,11314864580.0,SAMSUNG Note10+ 手機 12GB+256GB 幻光,12,256,1401,4.98,120.0,7998.0
124,10964124138.0,APPLE IPAD AIR 10.5 256GB WI-FI SILVER MUUR2ZP/A 平板電腦,0,256,1501,5.0,117.0,4699.0
125,10555863878.0,Apple Macbook Air 13 1.6GHz I5 128GB Silver MREA2ZP/A 手提電腦,0,128,1451,5.0,116.0,8929.0
126,624902175.0,Apple Macbook 12 1.3GHz i5 512GB Space Gray MNYG2ZP/A 手提電腦,0,512,1451,5.0,114.0,11088.0
127,10964124185.0,APPLE IPAD AIR 10.5 256GB WIFI GOLD MUUT2ZP/A 平板電腦,0,256,1501,5.0,111.0,4699.0
128,10555840092.0,APPLE Macbook Pro Touch Bar 15'' 2.2GHz i7 256GB Space Gray MR932ZP/A 手提電腦,0,256,1501,5.0,109.0,16688.0
129,193709290.0,聯想 (LENOVO) ThinkPad T460s 14吋i7 20F9A044HH 企業級超輕薄電腦,0,0,51,5.0,107.0,13388.0
130,10818305892.0,Microsoft Surface Pro 6 (Core i5/ 256GB/ 8GB RAM),8,256,1251,5.0,105.0,9988.0
131,11314878297.0,SAMSUNG Note10+ 手機 12GB+256GB 幻黑,12,256,1401,5.0,103.0,7998.0
132,10883983076.0,ACER Aspire 3 A315-53G-57HF 15.6'' 手提電腦,0,0,701,5.0,103.0,5498.0
133,10555852823.0,APPLE Macbook Pro Touch Bar 13 2.3GHz i5 512GB Silver MR9V2ZP/A 手提電腦,0,512,1501,4.96,103.0,14188.0
134,10584849444.0,APPLE IPHONE XR 64GB 手機 黃色,0,64,1501,4.98,96.0,5199.0
135,10964145627.0,APPLE IPAD MINI 2019 256GB WIFI SPACE GREY MUU32ZP/A 平板電腦,0,256,1501,5.0,96.0,3988.0
136,11314864607.0,SAMSUNG Note10+ 手機 12GB+256GB 幻白,12,256,1401,5.0,92.0,7998.0
137,10591752875.0,LENOVO Ideapad 330-15ICH 手提電腦,0,0,1201,5.0,88.0,6498.0
138,10395359640.0,Apple iPad (2018) Wi-Fi + Cellular 32GB MRM02ZP/A 金色,0,32,1451,5.0,87.0,3338.0
139,10584849219.0,APPLE IPHONE XS 512GB 手機 太空灰,0,512,1501,5.0,86.0,10799.0
140,10964145679.0,APPLE IPAD MINI 2019 64GB 4G SPACE GREY MUX52ZP/A 平板電腦,4,64,1501,5.0,86.0,3888.0
141,10584849281.0,APPLE IPHONE XS 512GB 手機 金色,0,512,1501,5.0,83.0,10799.0
142,10964145632.0,APPLE IPAD MINI 2019 256GB WIFI SILVER MUU52ZP/A 平板電腦,0,256,1501,5.0,82.0,3988.0
143,10964145688.0,APPLE IPAD MINI 2019 64GB 4G GOLD MUX72ZP/A 平板電腦,4,64,1501,5.0,82.0,3949.0
144,10964123899.0,Apple Macbook Pro with Touch Bar 13 2.4GHz I5 256GB Space Gray MV962ZP/A 手提電腦,0,256,1451,5.0,79.0,13535.0
145,10903483769.0,SAMSUNG GALAXY S10 智能手機 8+512GB 幻鑽黑,0,512,1401,5.0,79.0,6698.0
146,10964123956.0,Apple Macbook Pro with Touch Bar 13 2.4GHz I5 512GB Space Gray MV972ZP/A 手提電腦,0,512,1451,5.0,74.0,14945.0
147,10964145699.0,APPLE IPAD MINI 2019 256GB 4G SPACE GREY MUXC2ZP/A,4,256,1501,5.0,73.0,4999.0
148,624902233.0,Apple Macbook 12 1.3GHz i5 512GB Silver MNYJ2ZP/A 手提電腦,0,512,1451,5.0,73.0,11088.0
149,656160880.0,小米 (Mi) 紅米 Note 4X 64GB智能手機 玫瑰金色,0,64,151,5.0,70.0,1399.0
150,10394995121.0,Apple iPad (2018) Wi-Fi + Cellular 32GB MR6P2ZP/A 銀色,0,32,1451,5.0,66.0,3288.0
151,10555843051.0,Apple Macbook Pro BAR 15 2.2GHz i7 256GB Sliver MR962ZP/A 手提電腦,0,256,1451,5.0,65.0,16688.0
152,10970237102.0,HUAWEI MateBook 13 i5/8GB/256GB/深空灰 手提電腦,8,256,1351,5.0,64.0,6998.0
153,10555843999.0,Apple Macbook Pro BAR 15 2.6GHz i7 512GB Silver MR972ZP/A 手提電腦,0,512,1451,5.0,63.0,18988.0
154,10944549901.0,SAMSUNG TAB A 8 WIFI WITH S PEN 平板電腦 黑色,0,0,1401,5.0,63.0,1888.0
155,10964123807.0,Apple Macbook Pro with Touch Bar 15 2.3GHz I9 512GB Space Gray MV912ZP/A 手提電腦,0,512,1451,5.0,61.0,20679.0
156,10555868338.0,Apple iPad Pro 12.9 64GB Wi-Fi Space Gray MTEL2ZP/A 平板電腦,0,64,1451,5.0,60.0,7199.0
157,10394984583.0,Apple iPad (2018) Wi-Fi + Cellular 32GB MR6N2ZP/A 太空灰,0,32,1451,5.0,59.0,3288.0
158,10880925011.0,HUAWE Y7 PRO 2019 智能手機 黑色,0,0,451,5.0,59.0,1188.0
159,615437999.0,微軟 (Microsoft) Surface Book Performance Base (i7/16GB/512GB),16,512,101,5.0,58.0,21688.0
160,11228763764.0,SAMSUNG T290 GALAXY TAB A 8 32GB WIFI,0,32,1401,5.0,57.0,988.0
161,10880925012.0,HUAWEI Y7 PRO 2019 智能手機 藍色,0,0,1351,5.0,57.0,1188.0
162,10964145683.0,APPLE IPAD MINI 2019 64GB 4G SILVER MUX62ZP/A 平板電腦,4,64,1501,5.0,53.0,3888.0
163,11197208554.0,SAMSUNG SM-T510NZDETGY TAB A 10.1 32GB WIFI 金色,0,32,1401,4.98,52.0,1888.0
164,10574071838.0,Apple Macbook Pro 13 with Touch Bar 1.4GHz I5 Space Gray MUHP2ZP/A 手提電腦,0,0,1451,5.0,52.0,11899.0
165,150843468.0,[限量1件]華為 (HUAWEI) P9 標準版 智能電話 月光銀,0,0,201,5.0,51.0,3280.0
166,10584849251.0,APPLE IPHONE XS 512GB 手機 銀色,0,512,1501,5.0,49.0,10799.0
167,10555846917.0,Apple iPad Pro 12.9 256GB 4G Space Gray MTHV2ZP/A 平板電腦,4,256,1451,5.0,48.0,9199.0
168,10719285049.0,SAMSUNG GALAXY NOTE 9 128GB 手機 白色,0,128,1401,5.0,45.0,5556.12
169,10944549906.0,SAMSUNG TAB A 8 LTE WITH S PEN 平板電腦 黑色,0,0,1401,5.0,44.0,2488.0
170,10555572829.0,Apple iPad Pro 11 64GB 4G Space Gray MU0M2ZP/A 平板電腦,4,64,1451,5.0,43.0,6799.0
171,11136280253.0,VIVO Y17 手機 藍色,0,0,1301,5.0,43.0,1698.0
172,10555805676.0,Apple iPad Pro 11 512GB Wi-Fi Space Gray MTXT2ZP/A 平板電腦,0,512,1451,4.98,41.0,8199.0
173,10964123793.0,Apple Macbook Pro with Touch Bar 15 2.6GHz I7 256GB Space Gray MV902ZP/A 手提電腦,0,256,1451,5.0,41.0,17099.0
174,10555857393.0,APPLE Macbook 12 1.2GHz M3 256GB Gold MRQN2ZP/A 手提電腦,0,256,1501,5.0,40.0,9288.0
175,10964145562.0,APPLE IPAD AIR 10.5 256GB 4G SPACE GREY MV0N2ZP/A 平板電腦,4,256,1501,4.95,40.0,5488.0
176,11314864622.0,SAMSUNG Note10+ 手機 12GB+512GB 幻光,12,512,1401,5.0,39.0,8998.0
177,10964145600.0,APPLE IPAD AIR 10.5 256GB 4G GOLD MV0Q2ZP/A 平板電腦,4,256,1501,5.0,39.0,5499.0
178,10880925013.0,HUAWEI Y7 PRO 2019 智能手機 紅色,0,0,1351,5.0,39.0,1188.0
179,10877830653.0,NOKIA 9 PUREVIEW 手機 藍色,0,0,751,5.0,37.0,3998.0
180,11136280258.0,VIVO Y17 手機 紫色,0,0,1301,5.0,37.0,1698.0
181,612739294.0,雷蛇 (RAZER) Blade B6NT/W10/FHD/i7/16GB/1TB SSD 電競級遊戲筆記本,0,16,601,5.0,36.0,17599.0
