Index,product_index,product_type,product_name,prodect_brand,price,avg_rating,total_comment,seller,website
76,10395197204,Tablet,Apple iPad (2018) Wi-Fi 32GB MRJN2ZP/A 金色,Apple,2428.0,-1.0,0,香港蘇寧,https://product.hksuning.com/0000000000/10395197204.html
77,10964124211,Tablet,APPLE IPAD AIR 10.5 64GB 4G SILVER MV0E2ZP/A 平板電腦,APPLE,4599.0,0.0,16,香港蘇寧,https://product.hksuning.com/0000000000/10964124211.html
78,10395109300,Tablet,Apple iPad (2018) Wi-Fi + Cellular 128GB MR722ZP/A 太空灰,Apple,3948.0,0.0,133,香港蘇寧,https://product.hksuning.com/0000000000/10395109300.html
79,11359867692,Tablet,Apple iPad 10.2 4G 32GB Gold MW6D2ZP/A 平板電腦,Apple,3599.0,-1.0,0,香港蘇寧,https://product.hksuning.com/0000000000/11359867692.html
80,10748851001,Laptop,FUJITSU E558K503B 15.6'' i5 256GB SSD MADE IN JAPAN 手提電腦,FUJITSU,9998.0,0.0,9,香港蘇寧,https://product.hksuning.com/0000000000/10748851001.html
81,10574070923,Laptop,Apple Macbook Pro 13 with Touch Bar 1.4GHz I5 128GB Space Gray MUHN2ZP/A 手提電腦,Apple,10399.0,0.0,34,香港蘇寧,https://product.hksuning.com/0000000000/10574070923.html
82,11241444386,Laptop,ASUS ZenBook S UX391UA-BP8515E Notebook 手提電腦,ASUS,8998.0,0.0,3,香港蘇寧,https://product.hksuning.com/0000000000/11241444386.html
83,10555857393,Laptop,APPLE Macbook 12 1.2GHz M3 256GB Gold MRQN2ZP/A 手提電腦,APPLE,9288.0,0.0,40,香港蘇寧,https://product.hksuning.com/0000000000/10555857393.html
84,624902233,Laptop,Apple Macbook 12 1.3GHz i5 512GB Silver MNYJ2ZP/A 手提電腦,Apple,11088.0,0.0,73,香港蘇寧,https://product.hksuning.com/0000000000/624902233.html
85,10592156838,Laptop,Apple Macbook Pro with Touch Bar 13 2.4GHz I5 256GB Silver MV992ZP/A 手提電腦,Apple,13399.0,0.0,15,香港蘇寧,https://product.hksuning.com/0000000000/10592156838.html
86,624902175,Laptop,Apple Macbook 12 1.3GHz i5 512GB Space Gray MNYG2ZP/A 手提電腦,Apple,11088.0,0.0,114,香港蘇寧,https://product.hksuning.com/0000000000/624902175.html
87,10555859590,Laptop,Apple Macbook 12 1.3GHz I5 512GB Gold MRQP2ZP/A 手提電腦,Apple,11088.0,0.0,13,香港蘇寧,https://product.hksuning.com/0000000000/10555859590.html
88,10574063711,Laptop,Apple Macbook Air 13 1.6GHz I5 256GB Space Gray MVFJ2ZP/A 手提電腦,Apple,10399.0,0.0,21,香港蘇寧,https://product.hksuning.com/0000000000/10574063711.html
89,10574051410,Laptop,Apple Macbook Air 13 1.6GHz I5 128GB Space Gray MVFH2ZP/A 手提電腦,Apple,8899.0,0.0,10,香港蘇寧,https://product.hksuning.com/0000000000/10574051410.html
90,10574072528,Laptop,Apple Macbook Pro 13 with Touch Bar 1.4GHz i5 128GB Silver MUHQ2ZP/A 手提電腦,Apple,10399.0,0.0,12,香港蘇寧,https://product.hksuning.com/0000000000/10574072528.html
91,10574071838,Laptop,Apple Macbook Pro 13 with Touch Bar 1.4GHz I5 Space Gray MUHP2ZP/A 手提電腦,Apple,11899.0,0.0,52,香港蘇寧,https://product.hksuning.com/0000000000/10574071838.html
92,10964123899,Laptop,Apple Macbook Pro with Touch Bar 13 2.4GHz I5 256GB Space Gray MV962ZP/A 手提電腦,Apple,13535.0,0.0,79,香港蘇寧,https://product.hksuning.com/0000000000/10964123899.html
93,624902250,Laptop,Apple MacBook Air 13'' 1.8GHz i5 128GB 手提電腦,Apple,7038.0,0.0,408,香港蘇寧,https://product.hksuning.com/0000000000/624902250.html
94,624902167,Laptop,Apple MacBook Pro 13 2.3GHz i5 256GB 手提電腦,Apple,10798.0,0.0,484,香港蘇寧,https://product.hksuning.com/0000000000/624902167.html
95,10555840092,Laptop,APPLE Macbook Pro Touch Bar 15'' 2.2GHz i7 256GB Space Gray MR932ZP/A 手提電腦,APPLE,16688.0,0.0,109,香港蘇寧,https://product.hksuning.com/0000000000/10555840092.html
96,11322412881,Laptop,ASUS Laptop X407MA-AS4011T notebook手提電腦,ASUS,2998.0,0.0,10,香港蘇寧,https://product.hksuning.com/0000000000/11322412881.html
97,10555843999,Laptop,Apple Macbook Pro BAR 15 2.6GHz i7 512GB Silver MR972ZP/A 手提電腦,Apple,18988.0,0.0,63,香港蘇寧,https://product.hksuning.com/0000000000/10555843999.html
98,10748851002,Laptop,FUJITSU E548K501B 14'' i5 256GB SSD MADE IN JAPAN 手提電腦,FUJITSU,8998.0,0.0,2,香港蘇寧,https://product.hksuning.com/0000000000/10748851002.html
99,10555846102,Laptop,APPLE Macbook Pro Touch Bar 13 2.3GHz i5 512GB Space Gray MR9R2ZP/A 手提電腦,APPLE,14188.0,0.0,224,香港蘇寧,https://product.hksuning.com/0000000000/10555846102.html
100,612739286,Laptop,雷蛇 (RAZER) Blade (B6NT/W10/FHD/i7/16GB/256GB SSD) 電競級遊戲筆記本,雷蛇,15999.0,0.0,13,香港蘇寧,https://product.hksuning.com/0000000000/612739286.html
101,10613855369,Laptop,DELL Inspiron 14-5480 R1500-S-W10 14'' i5 256SSD 手提電腦,DELL,6799.0,0.0,320,香港蘇寧,https://product.hksuning.com/0000000000/10613855369.html
102,10970237102,Laptop,HUAWEI MateBook 13 i5/8GB/256GB/深空灰 手提電腦,HUAWEI,6998.0,0.0,64,香港蘇寧,https://product.hksuning.com/0000000000/10970237102.html
103,10162752130,Laptop,FUJITSU U537K703B NB i7 13.3''黑色 手提電腦,FUJITSU,6998.0,0.0,9,香港蘇寧,https://product.hksuning.com/0000000000/10162752130.html
104,10555863231,Laptop,Apple Macbook Air 13 1.6GHz I5 128GB Gold MREE2ZP/A 手提電腦,Apple,8929.0,0.0,179,香港蘇寧,https://product.hksuning.com/0000000000/10555863231.html
105,765126282,Laptop,DELL Inspiron 15-5570 15L-R1740-S-W10 i7 256GB 手提電腦,DELL,7599.0,0.0,459,香港蘇寧,https://product.hksuning.com/0000000000/765126282.html
106,10780284796,Laptop,LENOVO Ideapad 330S-15ARR 81FB00C5HH 手提電腦,LENOVO,6998.0,0.0,130,香港蘇寧,https://product.hksuning.com/0000000000/10780284796.html
107,624902234,Laptop,Apple MacBook 12 MNYK2ZP/A（金色）,Apple,9388.0,-1.0,0,香港蘇寧,https://product.hksuning.com/0000000000/624902234.html
108,10964123826,Laptop,Apple Macbook Pro with Touch Bar 15 2.6GHz I7 256GB Silver MV922ZP/A 手提電腦,Apple,17859.0,0.0,7,香港蘇寧,https://product.hksuning.com/0000000000/10964123826.html
109,10574052648,Laptop,Apple Macbook Air 13 1.6GHz I5 128GB Silver MVFK2ZP/A 手提電腦,Apple,8899.0,0.0,12,香港蘇寧,https://product.hksuning.com/0000000000/10574052648.html
110,10574024404,Laptop,HUAWEI MATEBOOK X PRO i7/16GB/512GB/GREY,HUAWEI,14988.0,0.0,157,香港蘇寧,https://product.hksuning.com/0000000000/10574024404.html
111,10574051200,Laptop,Apple Macbook Air 13 1.6GHz I5 256GB Space Gray MRE92ZP/A 手提電腦,Apple,10339.0,0.0,258,香港蘇寧,https://product.hksuning.com/0000000000/10574051200.html
112,10574067139,Laptop,Apple Macbook Air 13 1.6GHz I5 128GB Gold MVFM2ZP/A 手提電腦,Apple,8899.0,0.0,21,香港蘇寧,https://product.hksuning.com/0000000000/10574067139.html
113,10555841085,Laptop,Apple MacBook Pro 15 2.6GHz i7 512GB 手提電腦,Apple,18988.0,0.0,128,香港蘇寧,https://product.hksuning.com/0000000000/10555841085.html
114,10605109620,Laptop,SAMSUNG NOTEBOOK 9 ALWAYS 15'' 256GB SSD NP900X5T-K01HK 手提電腦,SAMSUNG,9788.0,0.0,4,香港蘇寧,https://product.hksuning.com/0000000000/10605109620.html
115,10883983076,Laptop,ACER Aspire 3 A315-53G-57HF 15.6'' 手提電腦,ACER,5498.0,0.0,103,香港蘇寧,https://product.hksuning.com/0000000000/10883983076.html
116,10964123852,Laptop,Apple Macbook Pro with Touch Bar 15 2.3GHz I9 512GB Silver MV932ZP/A 手提電腦,Apple,20679.0,0.0,24,香港蘇寧,https://product.hksuning.com/0000000000/10964123852.html
117,10883983078,Laptop,DELL Inspiron 15 3583 i7 256GB Black Ins3583-R1720-B-W10 手提電腦,DELL,6399.0,0.0,142,香港蘇寧,https://product.hksuning.com/0000000000/10883983078.html
118,10555864883,Laptop,Apple Macbook Air 13 1.6GHz I5 256GB Gold MREF2ZP/A 手提電腦,Apple,10339.0,-1.0,0,香港蘇寧,https://product.hksuning.com/0000000000/10555864883.html
119,10964123793,Laptop,Apple Macbook Pro with Touch Bar 15 2.6GHz I7 256GB Space Gray MV902ZP/A 手提電腦,Apple,17099.0,0.0,41,香港蘇寧,https://product.hksuning.com/0000000000/10964123793.html
120,10555848714,Laptop,APPLE MACBOOK PRO TOUCH BAR 13'' 2.3GHz i5 256GB Silver MR9U2ZP/A 手提電腦,APPLE,12888.0,0.0,178,香港蘇寧,https://product.hksuning.com/0000000000/10555848714.html
121,10555863878,Laptop,Apple Macbook Air 13 1.6GHz I5 128GB Silver MREA2ZP/A 手提電腦,Apple,8929.0,0.0,116,香港蘇寧,https://product.hksuning.com/0000000000/10555863878.html
122,11194736884,Laptop,Asus VivoBook14 X420FA-SS8202T Notebook 手提電腦,Asus,6498.0,0.0,18,香港蘇寧,https://product.hksuning.com/0000000000/11194736884.html
123,612739294,Laptop,雷蛇 (RAZER) Blade B6NT/W10/FHD/i7/16GB/1TB SSD 電競級遊戲筆記本,雷蛇,17599.0,0.0,36,香港蘇寧,https://product.hksuning.com/0000000000/612739294.html
124,10591752875,Laptop,LENOVO Ideapad 330-15ICH 手提電腦,LENOVO,6498.0,0.0,88,香港蘇寧,https://product.hksuning.com/0000000000/10591752875.html
125,10555843051,Laptop,Apple Macbook Pro BAR 15 2.2GHz i7 256GB Sliver MR962ZP/A 手提電腦,Apple,16688.0,0.0,65,香港蘇寧,https://product.hksuning.com/0000000000/10555843051.html
126,10605103653,Laptop,SAMSUNG NOTEBOOK 9 ALWAYS 13.3'' 256GB SSD NP900X3T-K01HK 手提電腦,SAMSUNG,7390.0,0.0,6,香港蘇寧,https://product.hksuning.com/0000000000/10605103653.html
127,10605103654,Laptop,SAMSUNG NOTEBOOK 9 ALWAYS 13.3'' 256 GB SSD NP900X3T-K02HK 手提電腦,SAMSUNG,11480.0,0.0,6,香港蘇寧,https://product.hksuning.com/0000000000/10605103654.html
