,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website
35,H5683001_S_P2215,smartphone,TSK,U6 曲面全屏高配八核手機,3980.0,0.0,0,日本ASK數碼專門店,https://www.hktvmall.com/hktv/zh/main/日本ASK數碼專門店/s/H5683001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/U6-曲面全屏高配八核手機/p/H5683001_S_P2215
36,H6482001_S_111,smartphone,APPLE,iPhone 6S 更換顯示屏 - 上門服務（不能正常顯示）,600.0,0.0,0,加速度-(香港),https://www.hktvmall.com/hktv/zh/main/加速度-(香港)/s/H6482001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-6S-更換顯示屏-上門服務不能正常顯示/p/H6482001_S_111
37,H6482001_S_219,smartphone,APPLE,iPhone 8 Plus 更換顯示屏 - 上門服務（能正常顯示）,600.0,0.0,0,加速度-(香港),https://www.hktvmall.com/hktv/zh/main/加速度-(香港)/s/H6482001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-8-Plus-更換顯示屏-上門服務能正常顯示/p/H6482001_S_219
38,H6482001_S_215,smartphone,APPLE,iPhone 8 上門更換電池服務(包電池),350.0,0.0,0,加速度-(香港),https://www.hktvmall.com/hktv/zh/main/加速度-(香港)/s/H6482001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-8-上門更換電池服務包電池/p/H6482001_S_215
39,H0972006_S_vivo_NEX_Dual_Display,smartphone,vivo,6.39吋 4G-LTE 智能手機 - NEX雙屏版 (10+128GB) (冰原藍) (原裝行貨),5298.0,0.0,0,ASK-Gadgets,https://www.hktvmall.com/hktv/zh/main/ASK-Gadgets/s/H0972006/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/639吋-4GLTE-智能手機-NEX雙屏版-10128GB-冰原藍-原裝行貨/p/H0972006_S_vivo_NEX_Dual_Display
40,H0972006_S_vivo_Y95_Black,smartphone,vivo,6.22吋 4G-LTE 智能手機 - Y95 (4+64GB) (星夜黑) (原裝行貨),1798.0,0.0,0,ASK-Gadgets,https://www.hktvmall.com/hktv/zh/main/ASK-Gadgets/s/H0972006/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/622吋-4GLTE-智能手機-Y95-464GB-星夜黑-原裝行貨/p/H0972006_S_vivo_Y95_Black
41,H0972006_S_vivo_V11_Black,smartphone,vivo,6.41吋 4G-LTE 智能手機 - V11 (6+128GB) (星空色) (原裝行貨),2698.0,0.0,0,ASK-Gadgets,https://www.hktvmall.com/hktv/zh/main/ASK-Gadgets/s/H0972006/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/641吋-4GLTE-智能手機-V11-6128GB-星空色-原裝行貨/p/H0972006_S_vivo_V11_Black
42,H6588001_S_Oppo_Reno_10X_6GB_Black,smartphone,OPPO,Reno 10X 6GB+128GB 極夜黑色 平行進口 中國版,4099.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Reno-10X-6GB128GB-極夜黑色-平行進口-中國版/p/H6588001_S_Oppo_Reno_10X_6GB_Black
43,H6588001_S_Vivo_Y95_Red,smartphone,vivo,Y95 4GB+64GB 極光紅 香港行貨,1749.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Y95-4GB64GB-極光紅-香港行貨/p/H6588001_S_Vivo_Y95_Red
44,H6588001_S_OP6_6_64_MirBlk,smartphone,OnePlus,OnePlus 6 6GB+64GB 亮瓷黑色 平行進口 中國版,2799.0,0.0,0,輝煌數碼有限公司,https://www.hktvmall.com/hktv/zh/main/輝煌數碼有限公司/s/H6588001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/OnePlus-6-6GB64GB-亮瓷黑色-平行進口-中國版/p/H6588001_S_OP6_6_64_MirBlk
45,H0775019_S_L26,smartphone,Motorola,E3 Power 智能電話,1199.0,0.0,0,Motorola-&-Lenovo專門店,https://www.hktvmall.com/hktv/zh/main/Motorola-&-Lenovo專門店/s/H0775019/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/E3-Power-智能電話/p/H0775019_S_L26
46,H0775019_S_L11,smartphone,Motorola,"Moto C plus 5""  XT1721 2+16G 智能電話 (白)",1099.0,0.0,0,Motorola-&-Lenovo專門店,https://www.hktvmall.com/hktv/zh/main/Motorola-&-Lenovo專門店/s/H0775019/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Moto-C-plus-5-XT1721-216G-智能電話-白/p/H0775019_S_L11
47,H6482001_S_67,smartphone,APPLE,iPhone 6 更換顯示屏 - 上門服務（不能正常顯示）,400.0,0.0,0,加速度-(香港),https://www.hktvmall.com/hktv/zh/main/加速度-(香港)/s/H6482001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-6-更換顯示屏-上門服務不能正常顯示/p/H6482001_S_67
48,H5912001_S_VI0001,smartphone,vivo,Y95 4+64GB 全新水滴屏-黑色（香港行貨）,1748.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Y95-464GB-全新水滴屏黑色香港行貨/p/H5912001_S_VI0001
49,H5912001_S_VI0002,smartphone,vivo,Y95 4+64GB 全新水滴屏-紅色（香港行貨）,1748.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Y95-464GB-全新水滴屏紅色香港行貨/p/H5912001_S_VI0002
50,H6482001_S_198,smartphone,APPLE,iPhone 8 更換顯示屏 - 上門服務（能正常顯示）,500.0,0.0,0,加速度-(香港),https://www.hktvmall.com/hktv/zh/main/加速度-(香港)/s/H6482001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-8-更換顯示屏-上門服務能正常顯示/p/H6482001_S_198
51,H6691001_S_TL000478,smartphone,vivo,V9 智能電話(4+64)金色(香港行貨),2050.0,0.0,0,MID-MALL,https://www.hktvmall.com/hktv/zh/main/MID-MALL/s/H6691001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/V9-智能電話464金色香港行貨/p/H6691001_S_TL000478
52,H6691001_S_TL000601,smartphone,vivo,Y85 智能電話-黑色(香港行貨),1568.0,0.0,0,MID-MALL,https://www.hktvmall.com/hktv/zh/main/MID-MALL/s/H6691001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/Y85-智能電話黑色香港行貨/p/H6691001_S_TL000601
53,H5087001_S_hoda1886,smartphone,HODA,Iphone XS Max/11 Pro Max 抗藍光 隱形滿版9H鋼化玻璃保護貼(附贈 DIY 工具包),158.0,5.0,1,月の光,https://www.hktvmall.com/hktv/zh/main/月の光/s/H5087001/電子電器/電子電器/手機及平板電腦/手機周邊配件/保護貼/Iphone-XS-Max11-Pro-Max-抗藍光-隱形滿版9H鋼化玻璃保護貼附贈-DIY-工具包/p/H5087001_S_hoda1886
54,H5912001_S_AP0022-sr,smartphone,APPLE,iPhone XS 256GB-銀（香港行貨）,10599.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-XS-256GB銀香港行貨/p/H5912001_S_AP0022-sr
55,H6482001_S_257,smartphone,APPLE,iPhone X 上門更換電池服務(包電池),550.0,0.0,0,加速度-(香港),https://www.hktvmall.com/hktv/zh/main/加速度-(香港)/s/H6482001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-X-上門更換電池服務包電池/p/H6482001_S_257
56,H6482001_S_237,smartphone,APPLE,iPhone 8 Plus 上門更換電池服務(包電池),350.0,0.0,0,加速度-(香港),https://www.hktvmall.com/hktv/zh/main/加速度-(香港)/s/H6482001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/iPhone-8-Plus-上門更換電池服務包電池/p/H6482001_S_237
57,H5912001_S_ME0004_ed,smartphone,美圖,M8 64GB（紅色）（香港行貨）,1888.0,0.0,0,UNIVERSAL,https://www.hktvmall.com/hktv/zh/main/UNIVERSAL/s/H5912001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/M8-64GB紅色香港行貨/p/H5912001_S_ME0004_ed
58,H5937001_S_1804BB,smartphone,vivo,V11 (原裝行貨) 水滴屏手機 (6GB RAM+128GB ROM),2698.0,0.0,0,vivo-Mall,https://www.hktvmall.com/hktv/zh/main/vivo-Mall/s/H5937001/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/V11-原裝行貨-水滴屏手機-6GB-RAM128GB-ROM/p/H5937001_S_1804BB
59,H0972006_S_vivo_Y95_Red,smartphone,vivo,6.22吋 4G-LTE 智能手機 - Y95 (4+64GB) (極光紅) (原裝行貨),1798.0,0.0,0,ASK-Gadgets,https://www.hktvmall.com/hktv/zh/main/ASK-Gadgets/s/H0972006/電子電器/電子電器/手機及平板電腦/手提電話/智能電話/622吋-4GLTE-智能手機-Y95-464GB-極光紅-原裝行貨/p/H0972006_S_vivo_Y95_Red
