,Unnamed: 0,product_index,product_type,product_brand,product_name,product_price,average_rate,no_of_rates,seller,website
33,33,S1076001_S_31P90K800CVHH,laptop,聯想,LENOVO IDEACENTRE 510S-07ICB (90K800CVHH) 桌上型電腦      ,5999.0,0.0,0,Vertex-恆進,https://www.hktvmall.com/hktv/zh/main/Vertex-恆進/s/S1076001/電子電器/電子電器/電腦及週邊設備/手提電腦/LENOVO-IDEACENTRE-510S07ICB-90K800CVHH-桌上型電腦-/p/S1076001_S_31P90K800CVHH
34,34,S1116001_S_7662,laptop,BlueBeach,直立式 筆記本電腦支架 鋁合金 可調節厚度 節省空間 適用於Apple MacBook,150.0,4.7,3,Bluebeach-Trading-Company-Ltd,https://www.hktvmall.com/hktv/zh/main/Bluebeach-Trading-Company-Ltd/s/S1116001/電子電器/電子電器/電腦及週邊設備/其他電腦產品/Mac專用配件/直立式-筆記本電腦支架-鋁合金-可調節厚度-節省空間-適用於Apple-MacBook/p/S1116001_S_7662
35,35,H6603001_S_A315_54_33GC_NXHEFCF001,laptop,ACER,"A315 15.6"" FHD i3-8145u 8G 128G+1TB SHARE Win10 Home",3899.0,0.0,0,新域達有限公司,https://www.hktvmall.com/hktv/zh/main/新域達有限公司/s/H6603001/電子電器/電子電器/電腦及週邊設備/手提電腦/A315-156-FHD-i38145u-8G-128G1TB-SHARE-Win10-Home/p/H6603001_S_A315_54_33GC_NXHEFCF001
36,36,H0800001_S_S937K501W,laptop,Fujitsu,"LIFEBOOK S937K501 白色 日本制造手提電腦 13.3"" FHD i5 8GB 256GB WIN10 Pro 1.19Kg",7998.0,0.0,0,Mobile-Computer-Land-Limited,https://www.hktvmall.com/hktv/zh/main/Mobile-Computer-Land-Limited/s/H0800001/電子電器/電子電器/電腦及週邊設備/手提電腦/LIFEBOOK-S937K501-白色-日本制造手提電腦-133-FHD-i5-8GB-256GB-WIN10-Pro-119Kg/p/H0800001_S_S937K501W
37,37,H0800001_S_E558X503B1,laptop,Fujitsu,"E558X503B1 日本制造15.6""手提電腦",5780.0,0.0,0,Mobile-Computer-Land-Limited,https://www.hktvmall.com/hktv/zh/main/Mobile-Computer-Land-Limited/s/H0800001/電子電器/電子電器/電腦及週邊設備/手提電腦/E558X503B1-日本制造156手提電腦/p/H0800001_S_E558X503B1
38,38,H6603001_S_Aspire_SF114_32_P1MD_NX_GXVCF_004,laptop,ACER,"SF114 14"" FHD N5000 4G 128G SHARE Win10 S mode (銀色)",2999.0,5.0,2,新域達有限公司,https://www.hktvmall.com/hktv/zh/main/新域達有限公司/s/H6603001/電子電器/電子電器/電腦及週邊設備/手提電腦/SF114-14-FHD-N5000-4G-128G-SHARE-Win10-S-mode-銀色/p/H6603001_S_Aspire_SF114_32_P1MD_NX_GXVCF_004
39,39,H0661001_S_NBOHPA-14-ck0110TU,laptop,HP,14-ck0110TU 5EF56PA#AB5- Scarlet Red,3588.0,0.0,0,Centralfield,https://www.hktvmall.com/hktv/zh/main/Centralfield/s/H0661001/電子電器/電子電器/電腦及週邊設備/手提電腦/14ck0110TU-5EF56PAAB5-Scarlet-Red/p/H0661001_S_NBOHPA-14-ck0110TU
40,40,H5899002_S_NS13A1HK089P,laptop,AVITA,"AVITA 13"" N4200 手提電腦 (丁香紫)",2899.0,0.0,0,Avita,https://www.hktvmall.com/hktv/zh/main/Avita/s/H5899002/電子電器/電子電器/電腦及週邊設備/手提電腦/AVITA-13-N4200-手提電腦-丁香紫/p/H5899002_S_NS13A1HK089P
41,41,H0661001_S_NBOHPA-14-ce1031TX,laptop,HP,Pavilion 14-ce1031TX 5MX39PA#AB5- Tranquil Pink,5388.0,4.0,1,Centralfield,https://www.hktvmall.com/hktv/zh/main/Centralfield/s/H0661001/電子電器/電子電器/電腦及週邊設備/手提電腦/Pavilion-14ce1031TX-5MX39PAAB5-Tranquil-Pink/p/H0661001_S_NBOHPA-14-ce1031TX
42,42,H0762001_S_Acer-SF515-51T-57PL-007160304,laptop,ACER,"Swift 5 筆記型電腦 (15.6"", i5-8265U, 8GB RAM, 256GB SSD, Win 10) SF515-51T-57PL",7498.0,0.0,0,Mob-hk,https://www.hktvmall.com/hktv/zh/main/Mob-hk/s/H0762001/電子電器/電子電器/電腦及週邊設備/手提電腦/Swift-5-筆記型電腦-156-i58265U-8GB-RAM-256GB-SSD-Win-10-SF51551T57PL/p/H0762001_S_Acer-SF515-51T-57PL-007160304
